Cod,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
is,1.24413719543603,-0.43342819841867675,-1.1811128176375782,0.23449911591617703,0.012638758846445532,0.3555739973234376,-2.240282052289789,-0.8598487660270274,0.33522734524653963,0.2777269920760585
nt,-0.40411762427578796,-0.3934802952390141,0.013425434774045418,-0.9663644223301195,-0.965536147330237,-0.6857420877099323,0.32313444248385303,-0.3369663179420926,-0.3205381500374624,-0.2665233205550816
sv,1.29022571997723,1.0769789826893872,-1.0269616077895056,0.8559847364688342,-1.0810715819029564,-0.1906947282930509,-0.6591502315102089,3.2547262568948394,-2.7804057730617866,-1.3926477749949384
vs,-0.14253501189002926,0.4578968973354504,-0.5496578758068893,-0.16378157366913842,-0.38968565928971005,-0.8821023527796497,-0.791123863574454,-0.395365103477778,-0.3942107886453217,0.8844642808909022
br,-1.4610970922202708,0.03404305004674958,1.7957555341861648,-0.5164958707193631,-0.9805014734614836,1.2422960068465658,0.6065272522950613,0.6071664080375235,0.6326998511556986,-0.9395790123749862
bz,-0.9864433860542863,-0.44629383372302317,-0.37247846121556766,0.8551397495706811,-0.7580887173458857,0.6298865156728328,0.6981614619681277,0.45823069866425226,0.4952770713977579,0.4948052877872515
ct,0.7372779935216048,0.5698068188792341,1.3439888760672298,-0.04751012118141192,0.22414017226294197,1.0116761806864536,-0.2313595866106754,-1.5782947369341715,-0.396718804735424,1.037143479596333
gl,-0.46623623104265,-0.5523005576231593,1.2162836870478129,-1.2691160494370999,0.5407878537042218,0.40881566312364614,-1.2098456178500019,-0.10441067613573576,0.09110002955587791,-0.8957006366677167
tl,-1.5173940085277133,0.12966367419585648,-0.7256565012784439,-0.9857943195472401,3.5603767354125186,-0.7637904474231494,-0.6758201422544591,-0.8995053100516373,-1.4366347491628526,0.09043880721116422
vn,-0.22447309863588305,-0.1629212204974327,0.0581689906655703,-0.3486084532743828,0.5061706066761678,1.2236841579721074,-0.007732641132388007,0.8871601023741882,1.0080133830948033,0.0962015240352586
ag,0.11542075618810291,-0.21112925990560336,-0.13543283840759443,-0.5425175404174337,-0.698487426542162,-0.39550857124079325,0.08670469005663822,1.0209189747496237,1.0498180414264757,-1.1792009503048189
cl,-0.9787048047873447,0.971567868201601,-0.17189943957266504,1.2119012341687478,1.6161754382623548,2.160098686213564,-0.8233300201750702,-0.1354129320400026,0.7052740097148668,-0.4902075237248861
db,-0.019135717705483685,-0.2979993756140115,0.011438988140044671,0.07309471461664199,-0.7747135005465167,-0.318605042642978,0.6762840978198608,-0.7655161006811959,-0.17505692906974465,-0.389736928251183
gr,-1.2035447859487902,0.6823496130140887,-0.642893652315658,1.9208808786211304,0.683630299477105,-0.17165301518080542,-0.07044348015961112,1.147539404404275,1.0293923073223075,-0.9389657138723592
il,-0.9299759893158756,1.370466873599644,0.42983579033167496,-0.5801584911398341,0.3474796515302947,-0.13682789245638619,1.6642434479927777,0.15038291412906638,-0.09426080256425401,-0.1256323386208222
ph,-0.2493849848353109,-0.6755601369776502,0.6795951658557259,0.13841295035794618,-0.7803719895053755,-1.2993991995403764,1.8632734113547034,-0.19128037003424925,-0.2319497808917457,-0.2855363067139809
tr,-2.009573861594433,-0.9869427447022566,-0.006977103033612542,2.637430418050191,-1.1568682147637688,-0.27039990488446086,1.6716134089862622,0.22996361350951297,0.0610496549522685,0.2472582033152579
if,2.7658913534819765,0.6235410432693451,0.9940612796809914,1.579027212159618,0.03161132430664402,0.10190677162100402,0.5596703436821622,-1.835420840577644,1.0157208919860006,-3.343695042285337
b,1.3844615050433753,-1.8956784163080498,2.3964976923449948,-0.14924801467928714,1.541663505821395,-1.3282955750046581,0.11602554844110491,1.7073253626657203,1.1706407647312,0.4153277369140191
dj,-0.6183326941904833,-1.2216075209845503,-1.4753742742225222,1.6418052375787924,0.4572301075893439,-0.8697146048725879,-0.8494588796086469,-1.037138487888716,-0.38966348260738876,-0.9539532092101047
gj,-0.24883671703337326,-0.2998036731466031,0.5350281022368222,-0.35298396009961247,-1.5646667452551424,0.22095310476692456,-2.411038120384809,0.06632012900840742,0.5779246623277555,-0.9201038192428104
mh,-0.9155653572847237,0.8147264145371959,-0.13639328918973506,-0.2851799339380812,0.8759229632965423,-0.2882438616979622,-1.1276426192010773,2.543364605094216,1.3963697455339237,0.22616178774141593
ot,-1.1378127170187728,-1.1881311056462218,-0.655559678542756,0.8658312147710114,-0.28191757480207924,-1.2126451309750894,-0.23846291799433134,-1.0354474443884594,-0.9143626866950175,-0.242977236274579
vl,-0.2809804138890763,-2.9670285676967567,-2.0961424926209804,-3.055283549651355,-0.7694674888802875,0.7489590990650092,0.7914387737744806,-0.006062314066559395,0.17382462798318404,-1.3983270407132242
ar,0.04327031716572327,-0.17315043576889694,0.2895441698580455,0.2967414148655052,1.3015762153454353,-2.179272304676185,0.3757137442191647,-0.23774878075991526,-0.5083042366886033,-0.1270536737907703
cs,-0.9479164947089953,0.09375886150196312,1.4895260771797574,-0.35009355788174057,-1.0815437201055556,0.14667431446058377,-1.2055311366626376,0.007853892483730366,-0.3558669301315932,1.953054172008387
hd,-1.1388192324602222,-0.010674354412146666,1.7725744217405506,-0.5510451357909352,0.6703323815301695,0.09600465676413894,0.4067242738434516,-0.46631024744181204,-0.6358548195551855,0.3620008005815956
tm,1.4146507177311511,-0.5462722046507258,1.245214928299859,0.26491620890493633,0.22565710218008705,-0.8601415991319333,-0.2737537513545986,-0.4623799331014744,0.156376999026995,0.45310209486925135
