Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
cl,-1.2276271066958149,2.153376481993579,-0.8341141540456741,-1.1456726952434932,-0.018847686325157965,-0.13032838008127698,0.7454605812282872,0.3074694856702115,-0.05475530468024415,0.04010035672421766,-0.14581977207676158,0.3222685949681056,0.027395897674849536,-0.005378901860332255
cs,-1.4625786370040628,-0.3926095644198016,0.9517029032942982,0.08689484471440838,-0.29055922750726404,0.6964020494783818,0.9457613020742487,1.4524282836223783,-0.38030380268102,-0.5076414481421022,-0.11942473976360568,-0.06484078375446597,-0.2751888199620912,-0.2637375497936131
cj,1.185443681797896,-0.8056710298508231,1.633996554808745,-0.570333363425222,-0.1539696536952353,0.48876969731756736,-0.8045878565375137,0.3747686516293949,1.1900798099268641,-0.12405569187797026,-0.34273403647619477,-0.08037595993755636,-0.2378304040802823,0.3265715949596728
ct,2.0767180243403236,0.4294954994450853,-0.5949789461312435,-0.0316161771506764,0.356825228294158,-0.8259109337990372,0.2113261183337289,-0.2496972482487456,-0.8212206709479739,-0.24254513416199322,0.32109285233900536,0.0028667272389138543,-0.09785715373678885,0.06751288036388295
cv,-3.1633171252774686,-0.6809218401010695,-0.07081852929680915,-0.14895315580492113,0.3184532684179701,0.4190562647816479,0.3265761111553649,0.26963060842112896,-0.10307652644833937,0.036636380996601145,-0.116823544848164,-0.24176148783671322,0.010839254569958493,0.036300212409716544
db,-0.15923213396935612,1.8086235300138562,-1.1284508467973278,-1.697170355683927,0.23093358060653887,-0.9858209650327568,0.37859544922548,0.3539830506860841,-0.04641791107190078,0.15069679842917016,-0.2855859234326266,-0.3650254398721312,0.2907943167871797,-0.07845739432705469
dj,1.2247682685568788,0.13750092411043754,0.633751945861399,0.6079605674506533,-0.3225874856892492,-0.24551480018418229,-1.615075639485873,-0.01753332643812553,0.40556237667269984,-0.6708957505714731,-0.2576929384500153,-0.24822842473509218,0.19013314489230385,-0.35560516095087435
gl,1.8058438002894395,0.35898736702899975,-0.11414871945575872,-0.94319706515018,0.8470103004229184,-0.5924455833039367,-1.0364096454013345,-0.0327665216794203,-0.902512018209645,0.7277947687871553,0.45456365672197574,-0.31901277251551013,-0.09056247532301263,-0.020091945980516647
gr,-2.304079587848818,-0.7196590496151309,-0.32188854484738444,0.6624269133013114,-0.4726283359278368,-0.16550387212656212,0.4663286619960765,-0.5203837588221327,0.15228043711754108,0.1873867240940382,-0.264102856067376,-0.27740310750618874,0.01946469896244302,-0.17580193062497224
gj,-2.4951824014707915,-0.5605171633060713,-1.1151191951775499,0.5919352827681391,-0.04354980539573745,-0.44399479931960484,0.2393611040319763,0.13330792091659052,-0.013791762318453532,0.4701537587199199,-0.1787397552213564,-0.1966742411611951,0.2635260050316672,0.09429019755854826
hr,-2.197674502680281,-0.7240305255281448,0.5853745192112665,0.16839374770510737,0.05197432255860151,0.2803858877581127,-0.10917334278412129,0.2723295200040239,-0.25090117887320823,-0.017126243302197447,0.07270687449360806,0.1792770044885735,0.21303938299458933,0.14318643342569046
hd,-1.4461753428152389,-0.46493022001741574,-0.7404019434409372,0.3802205024061011,-0.7411608595563675,-0.6891374639977706,0.003507741048135246,-0.9710417589782917,-0.00772212419666007,-0.18370425744216987,-0.27179235686634984,0.08581724002032673,0.25095767151474224,0.239052466081169
il,-2.6876305308422244,-0.575956464407852,-0.6622425782414317,0.23324085852506246,-0.1087397631368342,0.18077773625287044,-0.09419848200628175,0.05110044937608337,-0.37523079838626877,-0.7126497160247733,0.28707296495909757,-0.7085770383499683,0.17638964921257672,0.08639905130700953
is,3.6165516261441453,-0.026008775698958833,2.6372393131366483,-0.9624448448198396,-2.139756039910291,0.8477888802443073,-0.291198301784066,-0.15064017208508598,-1.0144162309806162,0.3257749705451822,-0.36928903174397404,0.22069081573885177,0.22300466429933535,0.21115049344163017
if,-1.7775825518527242,-0.7365708387299325,-0.22469598588703601,0.5927533336821932,0.5736175221212824,-0.055708173153141735,0.6402446994188522,-0.6037879471715089,-0.028905381177890422,0.15860820330530134,-0.0556553354216876,0.05829654395925742,-0.3147580405866353,0.07556647281126654
mm,0.07024951948426227,0.20044465517854038,0.7503530335057398,-0.2953469515915354,0.9740743664310553,-0.18708135687340718,-0.35987500613454537,0.26300798177467427,0.43740912393161946,0.08166583854454942,0.6788074883698136,-0.2760850227585691,-0.4380516948591928,-0.12250790472077595
mh,-3.00225429973739,-0.8757103381974903,-0.382432840634321,0.44658186990542925,-0.23078415646989217,0.11282655632732337,-0.6464998064980723,0.485557301861319,-0.18920242408998908,-0.05160392397700789,-0.23900577697609957,-0.06973373897898075,0.06325301655008896,0.09671317297581278
b,13.970188550107332,-1.652967380136845,-0.8569009258935703,0.9822138458177091,0.35843984392279743,-0.8898933170746359,1.0444571858878493,0.3753950629434401,0.47452878005136795,-0.3541090154201928,-0.23268129398619639,-0.2831066101719192,0.03819341644953098,0.19308555357220203
ms,1.6097093221807859,0.1932052053318639,1.9016040364059874,-1.484285260095268,-0.5866830390528331,0.057989200508385325,0.6449547868020634,-0.30984443325553135,-0.007933154023520565,-0.5863446757754479,0.489814162256849,0.21715983335552436,-0.03732490683052645,0.05442543718525041
nt,0.8180016772661691,-0.1547979453315353,-0.9550128300398213,0.7085044174834438,-1.1236500971910797,-0.8207775419432939,0.14964814601422632,0.6421997154544516,0.2708611223987078,0.6532710431894077,0.7480312486826881,0.3956138637475524,0.35398711839162145,-0.07019626794840174
